genre;id;length;avg l;stdev;stdev pc;amp;amp pc
Alternative;a209560b;179400;16309;2722;0.1669;10798;0.6620
Pop;a2095c0c;179850;14987;4041;0.2696;14506;0.9678
Love;a209680a;180750;18075;2758;0.1525;8991;0.4974
Soundtrack;a209680c;180750;15062;2419;0.1606;9223;0.6123
Country;a209800c;182550;15212;1839;0.1209;5433;0.3571
DRock;a209880c;183150;15262;941;0.0616;3191;0.2090
Neo;a209930b;183975;16725;2513;0.1502;7963;0.4761
Easy;a209930c;183975;15331;2575;0.1679;9753;0.6361
Soundtrack;a209940c;184050;15337;5971;0.3893;23830;1.5537
;9009970a;185850;15487;7781;0.5024;25116;1.6216
Country;a209a20e;185100;13221;1765;0.1335;6973;0.5274
Death;a209b60c;186600;15550;5615;0.3611;18214;1.1713
Pop;a209b80b;186750;16977;2305;0.1357;9042;0.5325
Electronic;a209ba0c;186900;15575;2959;0.1899;11943;0.7668
;a209bc0b;187050;17004;1190;0.0700;3523;0.2071
Rock;a209bf0c;187275;15606;1702;0.1091;5862;0.3756
Rock;a209c60c;187800;15650;2716;0.1735;10366;0.6623
Celtic;a209d10e;188625;13473;2055;0.1525;6898;0.5119
Folk;a209d50c;188925;15743;2155;0.1369;7834;0.4975
Soundtrack;a209d60c;189000;15750;4245;0.2695;15481;0.9829
Pop;a209f50c;191325;15943;2438;0.1529;7661;0.4805
Rock;a20a050c;192525;16043;6458;0.4025;22039;1.3736
Rock;a20a070c;192675;16056;2386;0.1486;7747;0.4824
Data;a20a0d0b;193125;17556;5710;0.3252;21591;1.2297
Pop;a20a260e;195000;13928;2358;0.1692;10372;0.7446
Alternative;a20a2e0c;195600;16300;1831;0.1123;6535;0.4009
Pop;a20a2f0c;195675;16306;1299;0.0797;3810;0.2336
Punk;a20a2f0d;195675;15051;9911;0.6585;45651;3.0329
Vocal;a20a2f0e;195675;13976;2140;0.1531;6390;0.4571
Pop;a20a320b;195900;17809;2878;0.1616;11292;0.6340
R;a20a340b;196050;17822;4328;0.2428;13460;0.7552
pop;a20a360c;196200;16350;1183;0.0723;4340;0.2654
Data;a20a380b;196350;15103;8313;0.5504;26328;1.7431
;a20a3a0c;196500;16375;2830;0.1728;10358;0.6325
Gospel;a20a3c0c;196650;16387;2005;0.1223;7659;0.4673
Folk;a20a440b;197250;17931;5906;0.3293;20918;1.1665
Pop;a20a4f0b;198075;18006;2040;0.1133;6445;0.3579
Crossover;a20a570c;198675;16556;2465;0.1489;8630;0.5212
Karaoke;a20a5c0d;199050;15311;3890;0.2541;17268;1.1277
Pop;a20a600b;199350;18122;1506;0.0831;4881;0.2693
;a20a750b;200925;18265;4062;0.2224;14501;0.7938
Rap;a20a770c;201075;16756;3431;0.2047;15047;0.8979
Pop;a20a790c;201225;16768;2784;0.1660;11501;0.6858
Electronic;a20a790d;201225;15478;5781;0.3734;20714;1.3382
