genre;id;length;avg l;stdev;stdev pc;amp;amp pc
Reggae;3710d115;323025;15382;5009;0.3256;23593;1.5337
Reggae;3710e515;324525;15453;2601;0.1683;11385;0.7367
Electronic;3710e814;324825;16241;5768;0.3551;22661;1.3952
Rock;37110614;327000;16350;3349;0.2048;13009;0.7956
Indie;37110f16;327675;14894;4311;0.2894;16500;1.1078
Reggae;37111415;328050;15621;2581;0.1652;9820;0.6286
Hip;37115317;332775;14468;3079;0.2128;13755;0.9506
JPop;37115605;333000;66600;105009;1.5767;275642;4.1387
;37115813;333150;17534;3647;0.2080;15155;0.8643
Hard;37115b13;333375;17546;2847;0.1622;11431;0.6514
Disco;37118d14;337125;16856;2307;0.1368;9997;0.5930
Dance;3711bc15;340650;16221;4238;0.2613;26216;1.6161
;3711cf16;342075;15548;2142;0.1377;8535;0.5489
Reggae;3711d716;342675;15576;6183;0.3969;21344;1.3703
Ambient;3711d905;342825;68565;16017;0.2336;46962;0.6849
Rap;3711d915;342825;16325;4171;0.2555;17499;1.0719
Reggae;3711e716;343875;15630;5195;0.3323;24127;1.5435
Reggae;3711e913;344025;18106;4317;0.2384;18189;1.0045
Ska;3711f215;344700;16414;3932;0.2396;19088;1.1628
Rap;37121114;347025;17351;7632;0.4398;23819;1.3727
Reggae;37121817;347550;15110;2450;0.1621;10563;0.6990
Ska;37121c15;347850;16564;3388;0.2045;11740;0.7087
;37123814;349950;17497;1810;0.1034;6530;0.3731
Ska;37124016;350550;15934;4090;0.2567;15681;0.9841
Reggae;37124414;350850;17542;3625;0.2066;15753;0.8979
Reggae;37125f14;352875;17643;2324;0.1317;7065;0.4004
Reggae;37126b16;353775;14740;4797;0.3254;20079;1.3621
Pop;37127714;354675;17733;4224;0.2382;18229;1.0279
Reggae;37128115;355425;16925;4793;0.2832;23199;1.3706
Reggae;37128217;355500;15456;1542;0.0997;7410;0.4794
Reggae;37128a13;356100;18742;7209;0.3846;27114;1.4466
reggaeton;37128b16;356175;16189;3219;0.1988;12790;0.7900
Reggae;37129316;356775;16217;1783;0.1100;6260;0.3860
Dance;3712a914;358425;17921;1916;0.1069;7771;0.4336
Reggae;3712ac14;358650;17932;3308;0.1845;11861;0.6614
Reggae;3712b915;359625;17125;4803;0.2804;23199;1.3546
Reggae;3712dd14;362325;18116;1632;0.0901;6497;0.3586
JPop;38031704;59475;14868;225;0.0151;553;0.0371
